trip_number,departure,arrival,target,number_people,company,flught_num
1069,Марокко ст. Рубцовск бул. Льва Толстого д. 3/4 стр. 1/2 492359,Марокко ст. Шатки пр. Тамбовский д. 6/7 206415,бизнес,26,АО «Капустина-Сергеев»,1069
1070,Сент-Китс и Невис ст. Карпинск наб. Бригадная д. 58 к. 7 334690,Сент-Китс и Невис к. Бодайбо пер. Заовражный д. 50 063348,отдых,10,АО «Пахомов Доронин»,1070
1071,Сенегал п. Ачхой Мартан наб. Крупской д. 6 к. 118 362785,Сенегал с. Кижи наб. Новоселов д. 5 983859,отдых,62,НПО «Овчинников»,1071
1072,Нигер к. Середниково пр. Строительный д. 6/1 к. 12 271504,Нигер с. Руза ул. Физкультурная д. 750 стр. 921 272273,посещение семьи/друзей,47,Ресурс,1072
1073,Азербайджан к. Любань ш. Черемушки д. 1 181497,Азербайджан п. Калязин ш. Воронежское д. 701 654991,отдых,25,РАО «Кузнецова-Медведева»,1073
1074,Франция г. Елатьма пер. Иванова д. 8 197383,Франция к. Тавда алл. Российская д. 797 703827,лечение,51,Харитонов Групп,1074
1075,Кабо-Верде с. Анадырь наб. Лесозаводская д. 1/7 417782,Кабо-Верде клх Иркутск пер. Менделеева д. 5 стр. 43 124345,учеба,79,ИП «Зайцева»,1075
1076,Южный Судан ст. Домодедово бул. Тульский д. 3 666658,Южный Судан д. Курильск ш. Новосельское д. 4 к. 59 461614,отдых,27,ИП «Беспалова-Воронцова»,1076
1077,Вьетнам г. Нарьян-Мар алл. 8 Марта д. 55 768316,Вьетнам к. Верхоянск пер. Пархоменко д. 442 241204,учеба,94,Порше Руссланд (Porsche),1077
1078,Марокко к. Алдан пер. Стадионный д. 518 716573,Марокко к. Кулу пер. Кольцевой д. 196 к. 26 477501,отдых,52,ЗАО «Терентьев Александрова и Третьяков»,1078
1079,Перу г. Псебай пр. Гастелло д. 88 444557,Перу д. Ульяновск алл. Рыбацкая д. 17 к. 2/5 232157,лечение,46,Марков и партнеры,1079
1080,Гренада д. Лодейное Поле пер. Клубный д. 8/7 020456,Гренада г. Сальск ул. Химиков д. 82 стр. 31 261727,лечение,97,АО «Карпова Федосеев и Гордеева»,1080
1081,Белиз клх Балтийск ш. Р.Люксембург д. 93 832225,Белиз п. Ухта ш. Смоленское д. 1/2 к. 731 796380,отдых,94,Норникель,1081
1082,Эритрея п. Адыгейск наб. Космонавтов д. 6/3 189064,Эритрея г. Фатеж наб. Вокзальная д. 2/8 стр. 58 815348,посещение семьи/друзей,100,ИП «Веселова»,1082
1083,Иран п. Сарапул наб. Толбухина д. 825 к. 586 496856,Иран клх Александров бул. Ягодный д. 2/7 448950,лечение,32,НПО «Якушева Матвеева»,1083
1084,ЮАР г. Нефтекамск ш. Карьерное д. 154 к. 5 724117,ЮАР г. Домодедово пер. Челюскинцев д. 2 829362,отдых,77,ИП «Осипова Пестова»,1084
1085,Ирландия к. Чебаркуль бул. Колхозный д. 1 к. 314 091141,Ирландия с. Тутаев алл. 40 лет Октября д. 8 к. 8/3 135733,отдых,1,Мартынова Инкорпорэйтед,1085
1086,Гвинея-Бисау г. Тулпан ул. Шевченко д. 6 стр. 7/8 220780,Гвинея-Бисау к. Анапа бул. 30 лет Победы д. 7 стр. 2 749455,бизнес,95,Объединенная судостроительная корпорация,1086
1087,Гватемала клх Люберцы алл. 8-е Марта д. 4/2 475776,Гватемала клх Ялуторовск пер. Приморский д. 42 111677,отдых,6,НПО «Куликов Петрова»,1087
1088,Ливия клх Сосновый Бор пр. Огородный д. 89 174593,Ливия д. Усть-Баргузин пер. Юности д. 8 стр. 787 258366,посещение семьи/друзей,10,АО «Капустин-Белозерова»,1088
1089,Уругвай с. Кабанск бул. Халтурина д. 4 379952,Уругвай г. Морозовск бул. Краснодарский д. 7/9 к. 33 537590,шопинг,14,ООО «Анисимова-Федотов»,1089
1090,Демократическая Республика Конго к. Калязин алл. Макаренко д. 70 к. 272 475215,Демократическая Республика Конго ст. Хоста ул. Комарова д. 9 796462,отдых,83,Уваров Инк,1090
1091,Эквадор ст. Урус-Мартан наб. Детская д. 4 стр. 8/9 634266,Эквадор п. Курган наб. Краснопартизанская д. 2 стр. 5 480287,лечение,45,НПО «Колесникова Маслов»,1091
1092,Индонезия к. Красноселькуп наб. Дачная д. 5 к. 85 602408,Индонезия с. Мыс Шмидта ш. Краснознаменное д. 7/8 стр. 273 781263,лечение,92,ООО «Колесникова»,1092
1093,Джибути д. Находка наб. Максима Горького д. 732 к. 952 272023,Джибути п. Черский наб. Вольная д. 8 030632,шопинг,29,ЗАО «Быкова Тихонова и Панова»,1093
1094,Бруней к. Воткинск пр. Герцена д. 41 стр. 6/2 030615,Бруней п. Светлогорск (Калин.) ул. Мусы Джалиля д. 2 446194,посещение семьи/друзей,9,ЗАО «Петухова Рожков»,1094
1095,Мьянма клх Алдан пр. Торговый д. 48 069960,Мьянма к. Карабулак ш. Прудовое д. 9/9 к. 8 421702,посещение семьи/друзей,19,Крылова Групп,1095
1096,Польша клх Ухта пр. Тепличный д. 276 153543,Польша г. Шатой ул. Челюскинцев д. 23 стр. 2 761063,отдых,44,РАО «Юдина Кудряшов и Гуляев»,1096
1097,Зимбабве д. Кисловодск бул. Попова д. 7 к. 5 989579,Зимбабве клх Заводоуковск алл. Азовская д. 5/9 стр. 891 097608,посещение семьи/друзей,17,ЗАО «Исакова»,1097
1098,Болгария к. Холмогоры наб. Черемушки д. 7/4 336217,Болгария к. Верхний Баскунчак ул. Амурская д. 693 к. 3 808542,лечение,83,ОАО «Гришин»,1098
1099,Самоа клх Ачинск ул. Брянская д. 9 010533,Самоа ст. Ростов алл. Хвойная д. 872 210876,учеба,83,НПО «Жукова Большакова»,1099
1100,Германия п. Тулпан ш. Индустриальное д. 9/2 к. 60 503851,Германия п. Сладково бул. Никитина д. 22 стр. 23 121752,шопинг,36,РАО «Уварова»,1100
1101,Бутан д. Майкоп пр. 40 лет Октября д. 8/4 961050,Бутан ст. Терскол пер. Широкий д. 4 стр. 580 720548,шопинг,32,Жданов и партнеры,1101
1102,Мадагаскар п. Нерчинск наб. Короленко д. 8/6 к. 502 694358,Мадагаскар с. Кетченеры бул. Каштановый д. 574 к. 614 345175,бизнес,40,ОАО «Якушев Стрелков и Корнилов»,1102
1103,Соломоновы Острова ст. Стерлитамак наб. Восточная д. 2/9 311946,Соломоновы Острова г. Сузун бул. Кошевого д. 8 к. 68 424267,отдых,46,Лапин Инк,1103
1104,Пакистан п. Вендинга наб. Маркса Карла д. 33 170293,Пакистан к. Асбест наб. Крайняя д. 3 к. 37 796696,лечение,54,РАО «Терентьева»,1104
1105,Пакистан д. Тимашевск пр. Учительский д. 31 стр. 8 328081,Пакистан с. Онега ш. Докучаева д. 60 к. 9/6 249686,бизнес,48,РАО «Авдеев-Туров»,1105
1106,Малайзия п. Невельск наб. Майская д. 147 к. 1 590688,Малайзия п. Лагань ул. Тульская д. 87 стр. 68 380847,учеба,1,Муравьева Инкорпорэйтед,1106
1107,Ямайка ст. Нальчик наб. Мирная д. 8 стр. 8 655863,Ямайка ст. Шумиха пер. Иркутский д. 2/3 стр. 7/3 639071,посещение семьи/друзей,71,Савельева Лимитед,1107
1108,Непал клх Нефтегорск (Самар.) наб. Жуковского д. 888 стр. 4/1 620466,Непал клх Ардон наб. Болотная д. 6 191514,отдых,33,НПО «Белякова Фадеев и Дементьева»,1108
1109,Доминиканская Республика к. Новосибирск наб. Горняцкая д. 795 261506,Доминиканская Республика п. Волхов пер. Смирнова д. 174 192695,шопинг,2,ЗАО «Дмитриев Орлова и Евсеева»,1109
1110,Нидерланды с. Усть-Камчатск ул. Васильковая д. 5 507799,Нидерланды к. Тосно пр. Загородный д. 7/1 005239,учеба,6,ООО «Дементьев-Носов»,1110
1111,Тувалу с. Асино алл. Тимирязева д. 48 к. 6/6 747187,Тувалу д. Новороссийск бул. Ильича д. 521 439471,отдых,99,ООО «Денисов-Власов»,1111
1112,Непал клх Киренск алл. Есенина д. 1 к. 668 959113,Непал к. Энгельс ш. 50 лет ВЛКСМ д. 3/8 стр. 85 865933,посещение семьи/друзей,17,ООО «Комиссарова»,1112
1113,Колумбия п. Белоярский ул. Производственная д. 3/9 565460,Колумбия г. Билибино ул. 50 лет ВЛКСМ д. 2/1 стр. 16 983829,шопинг,37,ЗАО «Пахомов»,1113
1114,Чили к. Гремячинск (Перм.) пр. Городской д. 46 505076,Чили клх Павловская ул. Павлова д. 7/6 стр. 515 247197,учеба,7,НПО «Горшкова Давыдова и Одинцов»,1114
1115,Италия к. Можга бул. Полевой д. 7 к. 356 735850,Италия ст. Змеиногорск пер. Крупской д. 2/3 к. 9/9 364988,учеба,47,РАО «Потапов Константинов и Анисимов»,1115
1116,Венесуэла клх Неплюевка пер. Карла Маркса д. 782 730616,Венесуэла г. Апрелевка наб. Ивановская д. 1 145850,шопинг,67,РАО «Некрасова Самойлов»,1116
1117,Польша п. Кабанск пер. 9 Января д. 3 к. 56 140853,Польша ст. Чебаркуль алл. Карбышева д. 632 к. 84 193343,учеба,40,ООО «Суворов-Тимофеев»,1117
1118,Франция к. Юрьевец (Иван.) пер. Халтурина д. 6/6 269070,Франция г. Камень-на-Оби алл. Марта 8 д. 868 659452,бизнес,88,НПО «Калинин-Большакова»,1118
1119,Науру п. Белый Яр (Томск.) пр. Энергетиков д. 494 к. 436 651867,Науру с. Поронайск алл. Высоцкого д. 7 стр. 315 551963,отдых,37,Август,1119
1120,Казахстан ст. Нижневартовск наб. 60 лет СССР д. 691 к. 1 166187,Казахстан г. Курчатов алл. Локомотивная д. 4 стр. 689 835578,посещение семьи/друзей,57,НПО «Кудряшова Воронов и Данилов»,1120
1121,Тонга клх Пушкин бул. Речной д. 945 к. 276 804805,Тонга ст. Камышин наб. Короткая д. 583 стр. 6 820584,бизнес,50,Никифоров Лтд,1121
1122,Экваториальная Гвинея п. Кемерово пр. Иванова д. 9/1 к. 59 893321,Экваториальная Гвинея п. Кулунда алл. Чкалова д. 13 стр. 55 526489,учеба,43,Семенова Лтд,1122
1123,Ирландия ст. Лотошино наб. Народная д. 48 к. 7 053794,Ирландия клх Новый Оскол ул. Новгородская д. 219 стр. 246 701662,учеба,60,БСС,1123
1124,Швеция ст. Тула пер. Логовой д. 5 стр. 8/7 374263,Швеция д. Кирово-Чепецк пр. Леонова д. 48 671407,шопинг,19,ОАО «Харитонов-Комиссаров»,1124
1125,Китай д. Шахты алл. Рыбацкая д. 276 стр. 88 256029,Китай ст. Устюжна ул. Юности д. 6/8 638914,бизнес,10,Норникель,1125
1126,Грузия п. Быково (метеост.) пер. Крестьянский д. 98 718675,Грузия г. Орехово-Зуево алл. Хвойная д. 6 к. 5/7 002478,учеба,84,ИП «Лихачев Субботина»,1126
1127,Уругвай к. Двинской ул. Волочаевская д. 46 451418,Уругвай д. Ербогачен ш. Космонавтов д. 22 стр. 351 677613,лечение,92,ООО «Наумова Ситников»,1127
1128,Нигер с. Стрежевой пер. Рабочий д. 473 стр. 386 383385,Нигер г. Токсово бул. Морозова д. 94 599104,отдых,81,ОАО «Голубев Русаков и Зимина»,1128
1129,КНДР клх Находка бул. Лазо д. 72 503569,КНДР с. Сорочинск ул. Толстого д. 69 к. 40 618848,лечение,73,Данилова и партнеры,1129
1130,Того с. Ижевск бул. Московский д. 6/4 стр. 77 990742,Того с. Минусинск пер. Тупиковый д. 32 стр. 181 384718,лечение,13,Втормет,1130
1131,Литва г. Дивногорск бул. Коммуны д. 92 к. 313 096979,Литва с. Томск пер. Попова д. 87 к. 9/5 731197,отдых,82,ИП «Якушева-Борисова»,1131
1132,Мальдивы п. Верещагино (Перм.) бул. Заовражный д. 1 стр. 1 713205,Мальдивы к. Токма бул. Физкультурный д. 1/5 к. 7 681250,бизнес,17,НПО «Пономарева»,1132
1133,Чехия г. Поронайск наб. Казанская д. 9/2 к. 6/1 273406,Чехия г. Сунтар ш. Пархоменко д. 4 054811,шопинг,60,ОАО «Кулакова»,1133
1134,Кирибати клх Якша алл. Гвардейская д. 78 к. 839 048644,Кирибати г. Усть-Илимск пр. Пушкина д. 4/3 828927,шопинг,26,ООО «Цветков Денисов и Мясников»,1134
1135,Испания д. Медногорск пер. Казанский д. 84 стр. 24 676107,Испания д. Тамбов ул. Крестьянская д. 8/4 к. 862 962502,учеба,90,ИП «Селиверстов»,1135
1136,Эфиопия д. Серов наб. Тюленина д. 3 стр. 334 407715,Эфиопия п. Троицк (Моск.) пер. Зои Космодемьянской д. 967 742479,учеба,72,НПО «Самойлов Чернова»,1136
1137,Либерия г. Петропавловск-Камчатский бул. Западный д. 2 к. 200 927445,Либерия ст. Карачаевск пер. Горького д. 8/3 350871,бизнес,59,ИКЕА Дом (INGKA),1137
1138,Экваториальная Гвинея п. Певек бул. Ручейный д. 9 944132,Экваториальная Гвинея ст. Томари пер. Репина д. 8/6 к. 27 741737,лечение,95,НПО «Сидорова-Фокин»,1138
1139,Молдавия ст. Ростов алл. Сурикова д. 9 стр. 14 459019,Молдавия п. Славянск-на-Кубани пер. Хвойный д. 9/7 стр. 168 194313,шопинг,11,Блохина Лтд,1139
1140,Украина ст. Жуковский ш. Геологов д. 7 к. 5/2 760458,Украина г. Сергиев Посад алл. Димитрова д. 875 стр. 39 131713,учеба,89,ЗАО «Ефремова-Суворова»,1140
1141,Филиппины ст. Тында бул. Иркутский д. 965 к. 6/3 468344,Филиппины г. Юрюзань пер. Технический д. 8 893100,бизнес,53,ЗАО «Никитин»,1141
1142,Судан п. Саянск пр. Овражный д. 37 стр. 16 740506,Судан клх Мытищи пер. Кавказский д. 13 637329,учеба,15,Кононова Лтд,1142
1143,Кирибати п. Ряжск ш. Труда д. 1 209569,Кирибати ст. Славгород пр. Болотный д. 2 к. 87 416995,отдых,91,ОАО «Горбунова»,1143
1144,КНДР к. Пинега наб. Мостовая д. 52 стр. 486 317248,КНДР с. Соловки ул. Азовская д. 49 138620,посещение семьи/друзей,37,Тарасов Инкорпорэйтед,1144
1145,Гаити ст. Ростов-на-Дону наб. Кузнецкая д. 68 к. 94 782871,Гаити с. Гатчина бул. Тепличный д. 87 047143,бизнес,7,ИП «Тетерин Русакова и Соловьева»,1145
1146,Монако д. Барнаул алл. Российская д. 5/4 к. 4/1 562135,Монако с. Шерегеш ш. Украинское д. 9 стр. 6/8 846666,лечение,17,ООО «Полякова»,1146
